cycle: 102; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 33; minEnergyPredators: 0.013999999999999721; maxSizePredators: 1.0; minAgePredators: 1.0833333333333333; maxAgePredators: 6.499999999999994
cycle: 110; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 54; minEnergyPredators: 0.016999999999999668; maxSizePredators: 1.0; minAgePredators: 1.333333333333333; maxAgePredators: 10.16666666666667
cycle: 111; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 55; minEnergyPredators: 0.07099999999999967; maxSizePredators: 1.0; minAgePredators: 1.0; maxAgePredators: 10.250000000000004
cycle: 93; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 35; minEnergyPredators: 0.01949999999999981; maxSizePredators: 1.0; minAgePredators: 1.333333333333333; maxAgePredators: 8.749999999999993
cycle: 94; nbPreys: 0; minEnergyPreys: null; maxSizePreys: null; minAgePrey: null; maxAgePrey: null; nbPredators: 32; minEnergyPredators: 0.002749999999999822; maxSizePredators: 0.978; minAgePredators: 1.4166666666666663; maxAgePredators: 8.833333333333327
cycle: 163; nbPreys: 4; minEnergyPreys: 0.243777525297155; maxSizePreys: 0.5271108586304892; minAgePrey: 4.833333333333333; maxAgePrey: 4.833333333333333; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 164; nbPreys: 4; minEnergyPreys: 0.27277752529715493; maxSizePreys: 0.4561108586304892; minAgePrey: 4.916666666666666; maxAgePrey: 4.916666666666666; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 165; nbPreys: 4; minEnergyPreys: 0.3012775252971549; maxSizePreys: 0.48461085863048925; minAgePrey: 4.999999999999999; maxAgePrey: 4.999999999999999; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 166; nbPreys: 4; minEnergyPreys: 0.3292775252971549; maxSizePreys: 0.5126108586304893; minAgePrey: 5.083333333333332; maxAgePrey: 5.083333333333332; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 167; nbPreys: 4; minEnergyPreys: 0.3567775252971549; maxSizePreys: 0.4440324272579379; minAgePrey: 5.166666666666665; maxAgePrey: 5.166666666666665; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 168; nbPreys: 4; minEnergyPreys: 0.3837775252971549; maxSizePreys: 0.4710324272579379; minAgePrey: 5.249999999999998; maxAgePrey: 5.249999999999998; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 169; nbPreys: 4; minEnergyPreys: 0.4102775252971549; maxSizePreys: 0.4975324272579379; minAgePrey: 5.333333333333331; maxAgePrey: 5.333333333333331; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 170; nbPreys: 4; minEnergyPreys: 0.34314027039519407; maxSizePreys: 0.5235324272579379; minAgePrey: 5.416666666666664; maxAgePrey: 5.416666666666664; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 171; nbPreys: 4; minEnergyPreys: 0.30099321157166437; maxSizePreys: 0.48530693706186134; minAgePrey: 5.499999999999997; maxAgePrey: 5.499999999999997; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 172; nbPreys: 4; minEnergyPreys: 0.26618929000303687; maxSizePreys: 0.5089343880422528; minAgePrey: 5.58333333333333; maxAgePrey: 5.58333333333333; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
cycle: 173; nbPreys: 4; minEnergyPreys: 0.2348069370618601; maxSizePreys: 0.5334343880422527; minAgePrey: 5.666666666666663; maxAgePrey: 5.666666666666663; nbPredators: 0; minEnergyPredators: null; maxSizePredators: null; minAgePredators: null; maxAgePredators: null
